 Use Code,Use,TreatmentTherapeutic_Area
U-1894 ,combination treatment glitazone improvement glycemic control type 2 diabetes mellitus patients,['ENDOCRINOLOGY (229) ']
U-2200 ,combination treatment insulin glargine without metformin improvement glycemic control type 2 diabetes mellitus patients,['ENDOCRINOLOGY (229) ']
U-1353 ,"adjunctive therapy lipid-lowering medications diet reduce low density lipoprotein-cholesterol, apolipoprotein b, total cholesterol, non-high density lipoprotein cholesterol pts homozygous familial hypercholesterolemia",['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-2202 ,ozempic indicated adjunct diet exercise improve glycemic control adults type 2 diabetes mellitus,['ENDOCRINOLOGY (229) ']
U-2238 ,method improving glycemic control patients diabetes mellitus administering mixture insulin degludec insulin aspart around time largest meal day,['ENDOCRINOLOGY (229) ']
U-1923 ,improvement glycemic control adults type 2 diabetes mellitus inadequately controlled basal insulin lixisenatide use pen injector threaded drive sleeve,['ENDOCRINOLOGY (229) ']
U-2496 ,improvement glycemic control adults type 2 diabetes mellitus use pen injector threaded drive sleeve,['ENDOCRINOLOGY (229) ']
U-2182 ,improvement glycemic control type 2 diabetes mellitus patients,['ENDOCRINOLOGY (229) ']
U-2277 ,improvement glycemic control adults type 2 diabetes mellitus inadequately controlled lixisenatide,['ENDOCRINOLOGY (229) ']
U-2278 ,improvement glycemic control adults type 2 diabetes mellitus inadequately controlled lixisenatide combination metformin,['ENDOCRINOLOGY (229) ']
U-2279 ,improvement glycemic control adults type 2 diabetes mellitus inadequately controlled lixisenatide combination metformin second oral antidiabetic drug,['ENDOCRINOLOGY (229) ']
U-831 ,method administering lanreotide acetate,['FAMILY MEDICINE (624) ']
U-2430 ,treatment polyneuropathy hereditary transthyretin amyloidosis,['NEUROLOGY (189) ']
U-1855 ,improvement glycemic control diabetes mellitus patients,['ENDOCRINOLOGY (229) ']
U-2009 ,method treating postmenopausal women osteoporosis high risk fracture.,['MUSCULOSKELETAL (109) ']
U-968 ,method improving glycemic control adults type 2 diabetes mellitus,['ENDOCRINOLOGY (229) ']
U-2313 ,"method reducing risk cardiovascular death, non-fatal myocardial infarction, and/or non-fatal stroke adults type 2 diabetes mellitus established cardiovascular disease administering liraglutide",['ENDOCRINOLOGY (229) ']
U-2418 ,method administering testosterone enanthate subcutaneously,['ENDOCRINOLOGY (229) ']
U-2419 ,method operating injection device,['FAMILY MEDICINE (624) ']
U-2205 ,treatment seborrheic keratoses raised,['FAMILY MEDICINE (624) ']
U-281 ,"antimycotic uses, specifically treatment onychomycosis",['FAMILY MEDICINE (624) ']
U-1969 ,topical treatment onychomycosis toenail(s) due trichophyton rubrum trichophyton mentagrophytes,['FAMILY MEDICINE (624) ']
U-2016 ,treatment onychomycosis tinea unguium,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1951 ,treatment onychomycosis toenail,['FAMILY MEDICINE (624) ']
U-1970 ,treatment onychomychosis toenail caused trichophyton rubrum trichophyton mentagrophytes,['FAMILY MEDICINE (624) ']
U-289 ,treatment non-hyperkeratotic actinic keratoses face scalp,['DERMATOLOGY (109) ']
U-1022 ,preparation skin prior surgery; helps reduce bacteria potentially cause skin infection,['DERMATOLOGY (109) ']
U-1703 ,treatment respiratory complaints,['FAMILY MEDICINE (624) ']
U-1702 ,treatment copd,['FAMILY MEDICINE (624) ']
U-1547 ,"treatment chronic obstructive pulmonary disease (copd), chronic bronchitis emphysema",['PULMONARY/RESPIRATORY DISEASES (135) ']
U-1430 ,"treatment allergic rhinitis, including seasonal perennial allergic rhinitis","['OTOLARYNGOLOGY (EAR, NOSE, THROAT) (23) ']"
U-77 ,treatment symptoms seasonal allergic rhinitis,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-81 ,relief symptoms associated seasonal allergic rhinitis,['PULMONARY/RESPIRATORY DISEASES (135) ']
U-644 ,treatment seasonal allergic rhinitis,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-707 ,allergic rhinitis,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1667 ,"treatment allergic rhinitis, including seasonal allergic rhinitis",['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1876 ,method anesthetizing least portion maxillary dental arch,['FAMILY MEDICINE (624) ']
U-1980 ,method treating nocturia due nocturnal polyuria adults,['PEDIATRICS/NEONATOLOGY (124) ']
U-2133 ,method delivering fluticasone propionate nasal airway,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-2402 ,treatment schizophrenia rapid continuous intramuscular injection,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1901 ,treatment schizoaffective disorder monotherapy adjunct mood stabilizers antidepressants,['FAMILY MEDICINE (624) ']
U-2457 ,reinitiation schizophrenia treatment following missed dose 9 months ago,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-2458 ,reinitiation schizophrenia treatment following missed dose 4-9 months ago,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-2157 ,treating type 2 diabetes mellitus stimulating insulin release,['ENDOCRINOLOGY (229) ']
U-2158 ,decreasing gastric motility delaying gastric emptying using sustained-release composition,['GASTROENTEROLOGY (105) ']
U-2415 ,treating mycobacterium avium complex (mac) lung disease adults part combination antibacterial drug regimen,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-2416 ,treating mycobacterium avium complex (mac) lung disease adults cystic fibrosis part combination drug regimen,['PULMONARY/RESPIRATORY DISEASES (135) ']
U-2414 ,treating mycobacterium avium complex (mac) lung disease adults part combination drug regimen,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-2417 ,treating mycobacterium avium complex (mac) lung disease non-cystic fibrosis adults part combination antibacterial drug regimen,['PULMONARY/RESPIRATORY DISEASES (135) ']
U-1679 ,treatment acute otitis externa,['FAMILY MEDICINE (624) ']
U-2340 ,treatment postoperative inflammation,['FAMILY MEDICINE (624) ']
U-1836 ,treatment hereditary tyrosinemia type 1 (ht-1) combination dietary restriction tyrosine phenylalanine,['FAMILY MEDICINE (624) ']
U-1052 ,relief signs symptoms arthritis risk-reduction nsaid-associated gastric ulcer,['MUSCULOSKELETAL (109) ']
U-1661 ,risk-reduction nsaid-associated gastric ulcers patients also taking low dose aspirin,['GASTROENTEROLOGY (105) ']
U-1760 ,risk-reduction nsaid gastric ulcer patients requiring chronic nsaid treatment,['FAMILY MEDICINE (624) ']
U-1781 ,risk-reduction nsaid-associated gastric ulcer patients requiring nsaid treatment,['FAMILY MEDICINE (624) ']
U-1902 ,"treatment secondary prevention cardiovascular disease, cardiovascular events, cerebrovascular events risk-reduction aspirin-associated gastric ulcers",['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-2324 ,secondary prevention cardiovascular cerebrovascular events patients risk developing aspirin-associated gastric ulcers,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1827 ,method providing subject therapeutically effective amount racemic methylphenidate orally administering said subject single methylphenidate extended release chewable tablet according claim 1,['FAMILY MEDICINE (624) ']
U-2203 ,method providing subject therapeutically effective amount racemic methylphenidate orally administering said subject single methylphenidate extended release chewable tablet claimed,['FAMILY MEDICINE (624) ']
U-1752 ,prophylaxis organ rejection,['IMMUNOLOGY (216) ']
U-1247 ,management postherpetic neuralgia (phn) adults,['NEUROLOGY (189) ']
U-1231 ,treatment moderate-to-severe primary restless leg syndrome adults,['FAMILY MEDICINE (624) ']
U-494 ,treatment attention-deficit hyperactivity disorder,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-2441 ,reduction risk major adverse cardiovascular events treatment type 2 diabetes mellitus patients,['FAMILY MEDICINE (624) ']
U-1097 ,adjunct diet exercise improve glycemic control adults type 2 diabetes mellitus treatment saxagliptin metformin appropriate,['ENDOCRINOLOGY (229) ']
U-1838 ,method treating type ii diabetes mellitus administering saxagliptin combination metformin,['ENDOCRINOLOGY (229) ']
U-2136 ,treatment neuropathic pain associated diabetic peripheral neuropathy,['NEUROLOGY (189) ']
U-2137 ,treatment postherpetic neuralgia,['FAMILY MEDICINE (624) ']
U-2300 ,"use combination muscarinic antagonist solifenacin succinate treatment overactive bladder (oab) symptoms urge urinary incontinence, urgency, urinary frequency",['NEPHROLOGY (88) ']
U-1527 ,"treatment overactive bladder (oab) symptoms urge urinary incontinence, urgency, urinary frequency",['NEPHROLOGY (88) ']
U-1475 ,use orenitram treatment pulmonary arterial hypertension (pah) (who group 1).,['FAMILY MEDICINE (624) ']
U-1877 ,method treating pulmonary hypertension orally administering formulation pharmaceutically acceptable salt treprostinil,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1819 ,"management pain severe enough require daily, around-the-clock, long term opioid treatment alternative treatment options inadequate",['NEUROLOGY (189) ']
U-860 ,"approved uses conditions use, including depression",['FAMILY MEDICINE (624) ']
U-1364 ,maintenance treatment major depressive disorder (mdd),['PSYCHIATRY/PSYCHOLOGY (73) ']
U-20 ,process treating patient suffering parkinson's syndrome need treatment,['FAMILY MEDICINE (624) ']
U-2290 ,method treating type 2 diabetes mellitus patient renal impairment (45 ml/min/1.73 m2<=egfr<60 ml/min/1.73 m2) daily administration 10 mg 25 mg empagliflozin,['FAMILY MEDICINE (624) ']
U-1889 ,treatment hcv infection using dasabuvir/ombitasvir/paritaprevir/ritonavir fixed dose combination,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1636 ,use dasabuvir inhibit viral replication treatment hcv infection.,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1637 ,"treatment hcv infection using paritaprevir, ombitasvir, ritonavir, dasabuvir ribavirin.",['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1840 ,"treatment hcv infection using paritaprevir, ombitasvir, ritonavir, dasabuvir, without ribavirin",['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1638 ,treatment hcv infection using paritaprevir,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1687 ,treatment hcv infection using ombitasvir,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1753 ,treatment hcv infection using dasabuvir,['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-247 ,treatment rheumatoid arthritis,['FAMILY MEDICINE (624) ']
U-1541 ,treatment patients tuberous sclerosis complex (tsc) subependymal giant cell astrocytoma (sega) requires therapeutic intervention cannot curatively resected.,['ONCOLOGY (263) ']
U-2280 ,adjunctive treatment patients tsc-associated partial-onset seizures,['NEUROLOGY (189) ']
U-1749 ,acute treatment manic mixed episodes associated bipolar disorder,['FAMILY MEDICINE (624) ']
U-1859 ,"treatment schizophrenia, acute treatment manic mixed episodes associated bipolar disorder, adjunctive treatment major depressive disorder, treatment irritability associated autistic disorder",['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1596 ,lamictal antiepileptic drug (aed) indicated for: epilepsy-adjunctive therapy patients greater equal 2 years age: (1.1) partial seizures primary generalized tonic-clonic seizures,['NEUROLOGY (189) ']
U-1981 ,"combination aromatase inhibitor initial endocrine-based therapy treatment postmenopausal women hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her-2)-negative advanced metastatic breast cancer",['ONCOLOGY (263) ']
U-2343 ,"treatment cystic fibrosis patients aged 12 years older, homozygous f508del mutation heterozygous f508del second cftr mutation predicted responsive tezacaftor/ivacaftor, tezacaftor ivacaftor",['PULMONARY/RESPIRATORY DISEASES (135) ']
U-2399 ,"treatment cystic fibrosis patients 12 years older, f508del g551d cftr gene mutation a455e, 2789+5g->a, 3849+10kbc->t mutation, comprising concurrent coadministration compositions claim 1 u.s patent 10058546",['PULMONARY/RESPIRATORY DISEASES (135) ']
U-2420 ,"treatment cystic fibrosis patients ages 12 older, two copies f508del mutation one f508del mutation cftr mutation predicted responsive tezacaftor/ivacaftor, composition claim 1 us 10,081,621",['PULMONARY/RESPIRATORY DISEASES (135) ']
U-2246 ,tezacaftor ivacaftor treatment cystic fibrosis patients homozygous f508del mutation least one cftr gene mutation responsive tezacaftor/ivacaftor based vitro data and/or clinical evidence,"['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-2247 ,tezacaftor ivacaftor treatment patients mild moderate clinical phenotype cystic fibrosis least one cftr gene mutation responsive tezacaftor/ivacaftor based vitro data and/or clinical evidence,"['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-2248 ,tezacaftor ivacaftor treatment cystic fibrosis patients homozygous f508del mutation heterozygous f508del mutation second mutation responsive tezacaftor/ivacaftor,"['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-2275 ,"treating cystic fibrosis patients ages 12 older, homozygous f508del least 1 cftr gene mutation responsive tezacaftor/ivacaftor, tezacaftor solid composition comprising amorphous (<30% crystalline) ivacaftor",['PULMONARY/RESPIRATORY DISEASES (135) ']
U-2318 ,"treatment cystic fibrosis patients aged 12 older, homozygous f508del mutation least one cftr gene mutation responsive tezacaftor/ivacaftor, tezacaftor ivacaftor",['PULMONARY/RESPIRATORY DISEASES (135) ']
U-2169 ,method using receiver identify signal tablet embedded sensor communicates information body patient,['FAMILY MEDICINE (624) ']
U-2167 ,method using tablet embedded sensor communicates information via signal body patient receiver,['FAMILY MEDICINE (624) ']
U-2170 ,method using receiver receive signal tablet embedded sensor communicates information body patient,['FAMILY MEDICINE (624) ']
U-2168 ,method using logic circuit stabilize battery voltage supplied sensor embedded tablet communicates information via signal body patient receiver,['FAMILY MEDICINE (624) ']
U-1734 ,use flibanserin pharmaceutically acceptable acid addition salt thereof treat hypoactive sexual desire disorder (hsdd),['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1368 ,"treatment solid excretory system tumors; advanced renal cell carcinoma (rcc), failure treatment sunitinib sorafenib",['ONCOLOGY (263) ']
U-1396 ,"treatment advanced hormone receptor positive, her2-negative breast cancer combination exemestane failure treatment letrozole anastrozole",['ONCOLOGY (263) ']
U-1681 ,"treatment patients progessive neuroendocrine tumors pancreatic origin (pnet) unresectable, locally advanced metastatic",['ONCOLOGY (263) ']
U-1927 ,treatment patients anaplastic lymphoma kinase (alk)-positive metastatic non-small cell lung cancer (nsclc) progressed intolerant crizotinib,['ONCOLOGY (263) ']
U-2041 ,treatment partial-onset seizures,['NEUROLOGY (189) ']
U-2121 ,treatment partial-onset seizures patient suffering susceptible absence seizures,['NEUROLOGY (189) ']
U-2123 ,treatment partial-onset seizures patients epilepsy previously treated oxcarbazepine,['NEUROLOGY (189) ']
U-620 ,treatment insomnia,['FAMILY MEDICINE (624) ']
U-1283 ,method treating chronic myelogenous leukemia,['ONCOLOGY (263) ']
U-1171 ,reduction rate thrombotic events patients acute coronary syndrome,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1860 ,"reduction rate cardiovascular death, myocardial infarction, stroke patients acute coronary syndrome history myocardial infarction",['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1862 ,treatment post-myocardial infarction,['FAMILY MEDICINE (624) ']
U-1863 ,treatment stroke,['FAMILY MEDICINE (624) ']
U-1864 ,treatment myocardial infarction,['FAMILY MEDICINE (624) ']
U-1865 ,treatment thrombotic stroke,['FAMILY MEDICINE (624) ']
U-1866 ,treatment stable unstable angina,['FAMILY MEDICINE (624) ']
U-1867 ,method inhibiting platelet aggregation,['FAMILY MEDICINE (624) ']
U-1868 ,"treatment arterial thrombotic complications selected group consisting unstable angina, thrombotic embolic stroke, transient ischaemic attacks, peripheral vascular disease myocardial infarction",['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1869 ,"treatment arterial thrombotic complication patient coronary artery, cerebrovascular peripheral vascular disease",['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1935 ,"reduction rate cardiovascular death, myocardial infarction, stroke patients history myocardial infarction",['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1936 ,treatment myocardial infarction stroke patients acute coronary syndrome history myocardial infarction,['FAMILY MEDICINE (624) ']
U-1937 ,treatment myocardial infarction patients acute coronary syndrome history myocardial infarction,['FAMILY MEDICINE (624) ']
U-1938 ,treatment stroke patients acute coronary syndrome history myocardial infarction,['FAMILY MEDICINE (624) ']
U-185 ,method treating hypertension,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-2488 ,treatment patients hepatocellular carcinoma (hcc) previously treated sorafenib,['ONCOLOGY (263) ']
U-1480 ,treatment advanced renal cell carcinoma,['ONCOLOGY (263) ']
U-1220 ,treatment renal cell carcinoma,['ONCOLOGY (263) ']
U-1490 ,"use patients symptomatic progressive medullary thyroid cancer, unresectable locally advanced metastatic disease",['ONCOLOGY (263) ']
U-56 ,aid smoking cessation,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-533 ,erectile dysfunction,['UROLOGY (54) ']
U-614 ,treatment sexual dysfunction,['FAMILY MEDICINE (624) ']
U-1184 ,treatment erectile dysfunction signs symptoms benign prostatic hyperplasia,['UROLOGY (54) ']
U-155 ,treatment erectile dysfunction,['FAMILY MEDICINE (624) ']
U-2410 ,treatment adult patients treatment amlodipine hypertension celecoxib osteoarthritis appropriate,['FAMILY MEDICINE (624) ']
U-1694 ,method treating heart failure human using crystalline form ivabradine hydrochloride,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1776 ,method using cobimetinib treatment melanoma,['FAMILY MEDICINE (624) ']
U-618 ,"use rosuvastatin calcium reduce elevated total-c, ldl-c, apob, nonhdl-c tg levels; increase hdl-c adult patients primary hyperlipidemia mixed dyslipidemia; slow progression atherosclerosis.",['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1032 ,use rosuvastatin calcium primary prevention cardiovascular disease individuals without clinically evident coronary heart disease increased risk factors,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1807 ,treatment pediatric patients 8 17 years age heterozygous familial hypercholesterolemia (hefh),['FAMILY MEDICINE (624) ']
U-1724 ,method inhibiting hepatitis c virus,['IMMUNOLOGY (216) ']
U-1725 ,method inhibiting hepatitis c virus daklinza least one additional compound anti-hcv activity,"['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-1115 ,treatment reduce risk copd exacerbations patients severe copd associated chronic bronchitis history exacerbations,['PULMONARY/RESPIRATORY DISEASES (135) ']
U-2395 ,treatment hiv-1 infection adult patients prior antiretroviral treatment history,['FAMILY MEDICINE (624) ']
U-2314 ,treatment thrombocytopenia adult patient chronic liver disease scheduled undergo procedure using doptelet,"['HEPATOLOGY (LIVER, PANCREATIC, GALL BLADDER) (54) ']"
U-594 ,prevention postmenopausal osteoporosis,['MUSCULOSKELETAL (109) ']
U-904 ,treatment moderate severe vasomotor symptoms associated menopause,['FAMILY MEDICINE (624) ']
U-1153 ,"combination antiretroviral agents, indicated treatment human immunodeficiency virus type 1 (hiv-1) infection antiretroviral treatment-naive adult patients, set forth labeling, including i&u; section",['IMMUNOLOGY (216) ']
U-1307 ,"combination antiretroviral agents treatment hiv-1 infection treatment-naive adult patients hiv-1 rna less equal 100,000 start therapy",['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1740 ,"combination antiretroviral agents treatment hiv-1 infection treatment-naive patients hiv-1 rna less equal 100,000 start thearpy",['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-1381 ,use prasugrel aspirin patients requiring reduction thrombotic cardiovascular events,['CARDIOLOGY/VASCULAR DISEASES (122) ']
U-1723 ,treatment heart failure,['FAMILY MEDICINE (624) ']
U-1470 ,treatment hepatitis c,['IMMUNOLOGY (216) ']
U-2381 ,"treatment combination gnrh agonist non-metastatic, castration-resistant prostate cancer (nm-crpc)",['ONCOLOGY (263) ']
U-2382 ,"treatment combination gnrh agonist high risk non-metastatic, castration-resistant prostate cancer (nm-crpc)",['ONCOLOGY (263) ']
U-2237 ,"treatment non-metastatic, castration-resistant prostate cancer (nm-crpc)",['ONCOLOGY (263) ']
U-2269 ,"dosage modification following grade 2 abnormality liver function biomarker pirfenidone administration, administering sub-2400mg/day dose full daily dose treatment ipf",['FAMILY MEDICINE (624) ']
U-2270 ,"dosage modification following grade 2 abnormality liver function biomarker pirfenidone administration, discontinuing pirfenidone biomarkers within normal limits, sub-2400mg/day dose, full daily dose treatment ipf",['FAMILY MEDICINE (624) ']
U-2072 ,full daily dosing following grade 2 abnormality liver function biomarker pirfenidone administration treatment ipf,['FAMILY MEDICINE (624) ']
U-2073 ,"dosage modification following grade 2 abnormality liver function biomarker pirfenidone administration, discontinuing pirfenidone biomarkers within normal limits, followed administering full daily dose treatment ipf",['FAMILY MEDICINE (624) ']
U-2074 ,dosing 1602 mg/day pirfenidone following grade 2 abnormality liver function biomarker pirfenidone administration treatment ipf,['FAMILY MEDICINE (624) ']
U-2075 ,"dosage modification following grade 2 abnormality liver function biomarker pirfenidone administration, discontinuing pirfenidone biomarkers within normal limits followed administering 1602 mg/day treatment ipf",['FAMILY MEDICINE (624) ']
U-2076 ,"dosage modification following grade 2 abnormality liver function biomarker pirfenidone administration, administering 801 mg/day followed administering 1602 mg/day treatment ipf",['FAMILY MEDICINE (624) ']
U-2083 ,"dosage modification following grade 2 abnormality liver function biomarker pirfenidone administration, discontinuing pirfenidone biomarkers within normal limits, followed 801 mg/day, dose, 1602 mg/day treatment ipf",['FAMILY MEDICINE (624) ']
U-2080 ,"pirfenidone dose escalation regimen treatment ipf 801 mg/day days 1-7 regimen, 1602 mg/day days 8-14 regimen, 2403 mg/day least day 15 regimen",['FAMILY MEDICINE (624) ']
U-2042 ,discontinuing administration fluvoxamine avoid drug interactions pirfenidone administering pirfenidone,['FAMILY MEDICINE (624) ']
U-2050 ,administering pirfenidone avoiding co-administration fluvoxamine avoid drug interactions pirfenidone,['FAMILY MEDICINE (624) ']
U-2048 ,administering pirfenidone avoiding co-administration strong cyp1a2 inhibitor avoid drug interactions pirfenidone,['FAMILY MEDICINE (624) ']
U-2049 ,discontinuing administration strong cyp1a2 inhibitor avoid drug interactions pirfenidone administering pirfenidone,['FAMILY MEDICINE (624) ']
U-2047 ,"administering pirfenidone concurrently fluvoxamine, pirfenidone dose 801 mg/day reduce drug interactions fluvoxamine",['FAMILY MEDICINE (624) ']
U-2082 ,modifying pirfenidone administration dose 2400 mg/day downward 1600 mg/day co-administering fluvoxamine reduce drug interactions fluvoxamine,['FAMILY MEDICINE (624) ']
U-2054 ,administering pirfenidone avoiding concomitant administration strong inducer cyp1a2 avoid reduced pirfenidone efficacy,['FAMILY MEDICINE (624) ']
U-2268 ,discontinuing strong cyp1a2 inducer avoid reduced pirfenidone efficacy administering pirfenidone,['FAMILY MEDICINE (624) ']
U-2046 ,"administering pirfenidone avoiding concomitant use cyp1a2 inhibitor moderate strong inhibitor cyp1a2 another cyp enzyme selected cyp2c9, cyp2c19, cyp2d6",['FAMILY MEDICINE (624) ']
U-2081 ,"discontinuing use cyp1a2 inhibitor moderate strong inhibitor cyp1a2 another cyp enzyme selected cyp2c9, cyp2c19, cyp2d6 administering pirfenidone",['FAMILY MEDICINE (624) ']
U-2079 ,"pirfenidone dose escalation regimen treatment fibrosis 801 mg/day days 1-7 regimen, 1602 mg/day days 8-14 regimen, 2403 mg/day least day 15 regimen",['FAMILY MEDICINE (624) ']
U-2055 ,dosing least 1600 mg/day following grade 2 liver abnormality biomarker ast and/or alt pirfenidone administration treatment ipf,['FAMILY MEDICINE (624) ']
U-2056 ,"dosage modification following grade 2 abnormality biomarker ast and/or alt pirfenidone administration, administering sub-1600 mg/day, following administering least 1600 mg/day treatment ipf",['FAMILY MEDICINE (624) ']
U-2057 ,dosing 2403 mg/day pirfenidone following grade 2 abnormality biomarker ast and/or alt pirfenidone administration treatment ipf,['FAMILY MEDICINE (624) ']
U-2058 ,"dosage modification following grade 2 abnormality biomarker ast and/or alt pirfenidone administration, administering sub-2400mg/day dose, followed administering 2403mg/day treatment ipf",['FAMILY MEDICINE (624) ']
U-2059 ,"dosage modification following grade 2 abnormality biomarker ast and/or alt pirfenidone administration, discontinuing pirfenidone biomarkers liver function within normal limits, followed full daily dose treatment ipf",['FAMILY MEDICINE (624) ']
U-2060 ,"dosage modification following grade 2 abnormality biomarker ast and/or alt pirfenidone administration, discontinuing pirfenidone biomarkers liver function within normal limits, least 1600mg/day treatment ipf",['FAMILY MEDICINE (624) ']
U-2061 ,dosing least 1600 mg/day following grade 2 abnormality liver function biomarker pirfenidone administration treatment ipf,['FAMILY MEDICINE (624) ']
U-2062 ,"dosage modification following grade 2 abnormality liver function biomarker pirfenidone administration, administering sub-1600 mg/day dose, followed administering least 1600 mg/day dose treatment ipf",['FAMILY MEDICINE (624) ']
U-2063 ,"dosage modification following grade 2 abnormality liver function biomarker pirfenidone administration, discontinuing pirfenidone biomarkers within normal limits, followed administering least 1600 mg/day treatment ipf",['FAMILY MEDICINE (624) ']
U-2064 ,dosing least 1602 mg/day following grade 2 abnormality liver function biomarker alt ast pirfenidone administration,['FAMILY MEDICINE (624) ']
U-2065 ,full daily dosing following grade 2 abnormality liver function biomarker alt ast pirfenidone administration,['FAMILY MEDICINE (624) ']
U-2066 ,"dosage modification following grade 2 abnormality liver function biomarker alt ast pirfenidone administration, administering sub-2400 mg/day dose, followed full daily dose",['FAMILY MEDICINE (624) ']
U-2067 ,"dosage modification following grade 2 abnormality liver function biomarker alt ast pirfenidone administration, discontinuing pirfenidone, followed administering least 1602 mg/day",['FAMILY MEDICINE (624) ']
U-2068 ,"dosage modification following grade 2 abnormality liver function biomarker alt ast pirfenidone administration, discontinuing pirfenidone biomarkers liver function within normal limits, followed full daily dose",['INFECTIONS AND INFECTIOUS DISEASES (211) ']
U-2069 ,"dosage modification following grade 2 abnormality liver function biomarker alt ast pirfenidone administration, administering sub-1600 mg/day dose, followed administering least 1602 mg/day",['FAMILY MEDICINE (624) ']
U-2070 ,"dosage modification following grade 2 abnormality biomarker alt ast pirfenidone administration, discontinuing pirfenidone biomarkers liver function within normal limits, sub-1600 mg/day, least 1602 mg/day",['FAMILY MEDICINE (624) ']
U-2051 ,discontinuing smoking avoid reduced pirfenidone efficacy administering pirfenidone,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-2052 ,discontinuing administration strong cyp1a2 inducer avoid reduced pirfenidone efficacy administering pirfenidone,['FAMILY MEDICINE (624) ']
U-2053 ,"administering pirfenidone avoiding concomitant administration strong inducer cyp1a2, including cigarette smoke, avoid reduced pirfenidone efficacy",['FAMILY MEDICINE (624) ']
U-2044 ,"dose reduction pirfenidone one half concurrent administration ciprofloxacin dose 750 mg twice daily (1500 mg/day) reduce drug interactions treatment fibrotic, inflammatory, autoimmune disorder",['FAMILY MEDICINE (624) ']
U-2045 ,"administration pirfenidone avoiding concurrent administration ciprofloxacin dose 750 mg reduce drug interactions treatment fibrotic, inflammatory, autoimmune disorder",['PSYCHIATRY/PSYCHOLOGY (73) ']
U-2077 ,"dosage modification following grade 2 abnormality liver function biomarker pirfenidone administration, administering sub-2400 mg/day dose full day daily dose treatment ipf",['FAMILY MEDICINE (624) ']
U-2078 ,"dosage modification following grade 2 abnormality liver function biomarker pirfenidone administration, discontinuing pirfenidone biomarkers within limits, sub-2400mg/day dose, full daily dose treatment ipf",['FAMILY MEDICINE (624) ']
U-1625 ,method treating schizophrenia administering iloperidone patient reducing dose patients poor metabolizers cyp2d6,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1685 ,dosage modification reduce risk associated qt prolongation induced drugs treatment iloperidone,['FAMILY MEDICINE (624) ']
U-1674 ,dosage modification reduce risks associated qt prolongation induced drugs treatment iloperidone,['FAMILY MEDICINE (624) ']
U-1737 ,method treating schizophrenia administering iloperidone patient reducing dose patients treated fluoxetine,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-2212 ,reducing fasting plasma glucose human need thereof combination sustained-release composition containing exendin-4,['FAMILY MEDICINE (624) ']
U-2213 ,reducing hba1c human need thereof combination sustained-release composition containing exendin-4,['FAMILY MEDICINE (624) ']
U-106 ,treatment epilepsy,['FAMILY MEDICINE (624) ']
