 Use Code,Use
U-2462 ,"VISUALIZATION OF VESSELS, BLOOD FLOW AND TISSUE PERFUSION OF VESSEL WITH ARTERIOVENOUS MALFORMATION IN VASCULAR,  GASTROINTESTINAL, ORGAN TRANSPLANT, AND PLASTIC, MICRO- AND RECONSTRUCTIVE, INCLUDING MINIMALLY INVASIVE, SURGERY"
U-2463 ,"VISUALIZATION OF VESSELS, BLOOD FLOW AND TISSUE PERFUSION IN SURGICAL FLAPS IN VASCULAR,  GASTROINTESTINAL, ORGAN TRANSPLANT, AND PLASTIC, MICRO- AND RECONSTRUCTIVE, INCLUDING MINIMALLY INVASIVE, SURGERY"
U-2464 ,"VISUALIZATION OF VESSELS, BLOOD FLOW AND TISSUE PERFUSION OF TRANSPLANTED ORGAN OR ATTACHED VESSEL IN VASCULAR, GASTROINTESTINAL, ORGAN TRANSPLANT, AND PLASTIC, MICRO- AND RECONSTRUCTIVE, INCLUDING MINIMALLY INVASIVE, SURGERY"
U-2468 ,VISUALIZATION OF EXTRAHEPATIC BILIARY DUCT ATTACHED TO TRANSPLANTED ORGAN IN PATIENTS 12 YEARS AND OLDER
U-2465 ,"VISUALIZATION OF VESSELS, BLOOD FLOW AND TISSUE PERFUSION OF VESSEL GRAFT IN VASCULAR, GASTROINTESTINAL, ORGAN TRANSPLANT, AND PLASTIC, MICRO- AND RECONSTRUCTIVE, INCLUDING MINIMALLY INVASIVE, SURGERY"
U-2466 ,"VISUALIZATION OF VESSELS, BLOOD FLOW AND TISSUE PERFUSION OF DONOR ORGAN OR ATTACHED VESSEL IN VASCULAR, GASTROINTESTINAL, ORGAN TRANSPLANT, AND PLASTIC, MICRO- AND RECONSTRUCTIVE, INCLUDING MINIMALLY INVASIVE, SURGERY"
U-2467 ,VISUALIZATION OF EXTRAHEPATIC BILIARY DUCT ATTACHED TO DONOR ORGAN IN PATIENTS 12 YEARS AND OLDER
U-257 ,TREATMENT OF HIV INFECTION
U-1766 ,TREATMENT OF HYPERKALEMIA
U-1320 ,TREATMENT OF ADULT PATIENTS WITH SHORT BOWEL SYNDROME WHO ARE DEPENDENT ON PARENTERAL SUPPORT
U-2308 ,TREATMENT OF ADULT PATIENTS WITH SHORT BOWEL SYNDROME WHO ARE DEPENDENT ON PARENTERAL SUPPORT
U-1300 ,TREATMENT OF PATIENTS WITH TYROSINE KINASE INHIBITOR (TKI) RESISTANT OR INTOLERANT CHRONIC MYELOID/MYELOGENOUS LEUKEMIA (CML)
U-1576 ,TREATMENT OF LEUKEMIA
U-2489 ,TREATMENT OF MODERATE TO SEVERE OPIOID USE DISORDER
U-2173 ,TREATING OPIOID DEPENDENCE BY ADMINISTERING BUPRENORPHINE
U-2174 ,TREATING OPIOID DEPENDENCY BY ADMINISTERING BUPRENORPHINE ONCE PER MONTH
U-2175 ,TREATING OPIOID DEPENDENCY BY ADMINISTERING BUPRENORPHINE ONCE MONTHLY
U-2206 ,TREATING OPIOID DEPENDENCY BY ADMINISTERING BUPRENORPHINE
U-2176 ,TREATING OPIOID ADDICTION BY ADMINISTERING BUPRENORPHINE
U-2177 ,TREATING OPIOID ADDICTION BY SUBCUTANEOUS INJECTION OF BUPRENORPHINE
U-2178 ,TREATING OPIOID ADDICTION BY ADMINISTERING BUPRENORPHINE COMPOSITION WITH 28 DAY DOSE DURATION
U-2209 ,TREATING OPIOID ADDICTION BY ADMINISTERING BUPRENORPHINE ONCE PER MONTH
U-2179 ,IN SITU FORMATION OF SOLID BUPRENORPHINE COMPOSITION
U-2180 ,TREATING ADDICTION WITH 100 MG OR 300 MG DOSE OF BUPRENORPHINE
U-2207 ,TREATING ADDICTION BY SUBCUTANEOUS INJECTION OF BUPRENORPHINE
U-2208 ,TREATING ADDICTION BY ONCE PER MONTH ADMINISTRATION OF BUPRENORPHINE
U-2181 ,TREATING OPIOID DEPENDENCY BY SUBCUTANEOUSLY ADMINISTERING BUPRENORPHINE
U-2210 ,TREATING OPIOID ADDICTION BY 100 MG OR 300 MG DOSE BUPRENORPHINE
U-2211 ,TREATING OPIOID ADDICTION BY ADMINISTRATION OF BUPRENORPHINE
U-1419 ,TREATMENT OF ACUTE CYANIDE POISONING THAT IS JUDGED TO BE LIFE THREATENING
U-2015 ,SODIUM THIOSULFATE INJECTION IS INDICATED FOR SEQUENTIAL USE WITH SODIUM NITRITE FOR THE TREATMENT OF ACUTE CYANIDE POISONING
U-1834 ,TREATMENT OF POSTOPERATIVE INFLAMMATION AND PREVENTION OF OCULAR PAIN IN PATIENTS UNDERGOING CATARACT SURGERY
U-2222 ,RELIEVES REDNESS OF THE EYE DUE TO MINOR EYE IRRITATIONS
U-1680 ,TREATMENT OF OCULAR ITCHING ASSOCIATED WITH ALLERGIC CONJUNCTIVITIS
U-1524 ,REDUCTION OF ELEVATED INTRAOCULAR PRESSURE
U-1900 ,TREATMENT OF THE SIGNS AND SYMPTOMS OF DRY EYE DISEASE (DED)
U-1880 ,TREATMENT OF SIGNS AND SYMPTOMS OF DRY EYE DISEASE (DED)
U-1578 ,TREATMENT OF ACUTE OTITIS MEDIA
U-2440 ,FOR THE MAINTENANCE TREATMENT OF PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)
U-2236 ,REDUCING THE RISK OF PRETERM BIRTH IN WOMEN WITH A SINGLETON PREGNANCY WHO HAVE A HISTORY OF SINGLETON SPONTANEOUS PRETERM BIRTH
U-1942 ,TREATMENT OF SPINAL MUSCULAR ATROPHY BY INCREASING EXON-7 INCLUSION IN SMN2 MRNA
U-1943 ,TREATMENT OF SPINAL MUSCULAR ATROPHY
U-1944 ,TREATMENT OF SPINAL MUSCULAR ATROPHY BY INHIBITING AN SMN2 PRE-MRNA INTRONIC SPLICING SILENCER SITE
U-1941 ,TREATMENT OF INFANTILE-ONSET SPINAL MUSCULAR ATROPHY
U-2093 ,TREATMENT OF TYPE II SPINAL MUSCULAR ATROPHY
U-2094 ,TREATMENT OF TYPE III SPINAL MUSCULAR ATROPHY
U-298 ,METHOD OF COMBATING BACTERIA IN A PATIENT
U-2450 ,POSITRON EMISSION TOMOGRAPHY DIAGNOSTIC AGENT IN ADULTS WITH SUSPECTED PROSTATE CANCER RECURRENCE BASED ON ELEVATED BLOOD PROSTATE SPECIFIC ANTIGEN LEVELS FOLLOWING PRIOR TREATMENT
U-1879 ,METHOD OF DIAGNOSING TUMORS USING POSITRON EMISSION TOMOGRAPHY
U-1795 ,REVERSAL OF NEUROMUSCULAR BLOCKAGE INDUCED BY ROCURONIUM BROMIDE OR VECURONIUM BROMIDE
U-1794 ,REVERSAL OF DRUG-INDUCED NEUROMUSCULAR BLOCK
U-1815 ,TREATMENT OF PARTIAL-ONSET SEIZURES AS ADJUNCTIVE THERAPY IN PATIENTS WITH EPILEPSY AGED 16 YEARS AND OLDER WITH EPILEPSY
U-2130 ,TREATMENT OF PARTIAL ONSET SEIZURES IN PATIENTS WITH EPILEPSY AGED 16 YEARS AND OLDER WITH EPILEPSY
U-981 ,"MANAGEMENT OF MILD TO MODERATE PAIN, MANAGEMENT OF MODERATE TO SEVERE PAIN AS AN ADJUNCT TO OPIOID ANALGESICS, REDUCTION IN FEVER THROUGH ANTI-INFLAMMATORY, ANALGESIC, AND ANTIPYRETIC ACTIVITY"
U-1599 ,"MANAGEMENT OF MILD TO MODERATE PAIN, MANAGEMENT OF MODERATE TO SEVERE PAIN AS AN ADNUNCT TO OPIOID ANALGESICS, REDUCTION IN FEVER THROUGH ANTI INFLAMMATORY, ANALGESIC, AND ANTIPYRETIC ACTIVITY"
U-2264 ,"METHODS OF TREATING PAIN, INFLAMMATION, FEVER, PATENT DUCTUS ARTERIOSIS WITH AQUEOUS COMPOSITION"
U-2266 ,"METHODS OF MAKING AQUEOUS COMPOSITION AND TREATING PAIN, INFLAMMATION, FEVER, PATENT DUCTUS ARTERIOSIS WITH AQUEOUS COMPOSITION"
U-1735 ,"METHODS OF TREATING PAIN, INFLAMMATION AND/OR FEVER WITH INTRAVENOUS IBUPROFEN SUCH THAT MEAN ARTERIAL BLOOD PRESSURE DOES NOT INCREASE THE DOSAGE INTERVAL"
U-1756 ,"METHODS OF TREATING PAIN, INFLAMMATION AND/OR FEVER IN A CRITICALLY ILL PATIENT WITH INTRAVENOUS IBUPROFEN IN NEED THEREOF"
U-2018 ,"MANAGEMENT OF MILD TO MODERATE PAIN, MANAGEMENT OF MODERATE TO SEVERE PAIN AS AN ADJUNCT TO OPIOID ANALGESICS IN A CRITICALLY ILL PATIENT WITH INTRAVENOUS IBUPROFEN IN NEED THEREOF"
U-2004 ,REPLACEMENT THERAPY FOR ORAL CARBAMAZEPINE IN ADULTS WITH PARTIAL SEIZURES WITH COMPLEX SYMPTOMATOLOGY
U-2005 ,REPLACEMENT THERAPY FOR ORAL CARBAMAZEPINE IN ADULTS WITH GENERALIZED TONIC-CLONIC SEIZURES
U-2006 ,"REPLACEMENT THERAPY FOR ORAL CARBAMAZEPINE IN ADULTS WITH MIXED SEIZURE PATTERNS THAT INCLUDE PARTIAL SEIZURES WITH COMPLEX SYMPTOMATOLOGY, GENERALIZED TONIC-CLONIC SEIZURES, OR OTHER PARTIAL OR GENERALIZED SEIZURES"
U-1239 ,MAGNETIC RESONANCE IMAGING OF THE LIVER
U-1904 ,(I)TREATMENT OF DUCHENNE MUSCULAR DYSTROPHY; (II)RESTORING/INCREASING FUNCTIONAL DYSTROPHIN PROTEIN; OR (III) INDUCING SKIPPING; EACH OF (I)-(III) IN PATIENTS HAVING A CONFIRMED MUTATION OF THE DMD GENE THAT IS AMENABLE TO EXON 51 SKIPPING
U-2097 ,TREATMENT OF DMD IN PATIENTS HAVING A MUTATION OF THE DMD GENE THAT IS AMENABLE TO EXON 51 SKIPPING
U-2098 ,INCREASING PRODUCTION OF FUNCTIONAL DYSTROPHIN PROTEIN IN DMD PATIENTS HAVING A MUTATION OF THE DMD GENE THAT IS AMENABLE TO EXON 51 SKIPPING
U-1918 ,TREATMENT OF DUCHENNE MUSCULAR DYSTROPHY IN PATIENTS HAVING A MUTATION OF THE DMD GENE THAT IS AMENABLE TO EXON 51 SKIPPING
U-1919 ,RESTORING AN MRNA READING FRAME TO INDUCE DYSTROPHIN PROTEIN PRODUCTION IN PATIENTS HAVING A MUTATION OF THE DMD GENE THAT IS AMENABLE TO EXON 51 SKIPPING
U-1422 ,METHOD OF TREATING PATIENTS NEEDING AN IRON SUPPLEMENT
U-1119 ,CONTRAST AGENT FOR MAGNETIC RESONANCE IMAGING
U-2338 ,MAINTAINING MEAN ARTERIAL PRESSURE OF ABOUT 65 MMHG OR ABOVE WITH ABOUT 1 NG/KG/MIN TO ABOUT 40 NG/KG/MIN ANGIOTENSIN II IN HYPOTENSIVE PATIENTS TREATED WITH VASOPRESSIN OR A VASOPRESSIN ANALOGUE AND REDUCING VASOPRESSIN OR VASOPRESSIN ANALOGUE USE
U-2217 ,TREATING HIGH OUTPUT SHOCK WITH ANGIOTENSIN II BY INCREASING MEAN ARTERIAL PRESSURE IN PATIENTS TREATED WITH CATECHOLAMINES AND REDUCING CATECHOLAMINE USE
U-2218 ,MAINTAINING MEAN ARTERIAL PRESSURE OF ABOUT 65 MMHG OR HIGHER WITH ANGIOTENSIN II IN SHOCK PATIENTS TREATED WITH CATECHOLAMINES AND REDUCING CATECHOLAMINE USE
U-2221 ,TREATING REFRACTORY HYPOTENSION WITH ABOUT 20 NG/KG/MIN ANGIOTENSIN II IN A PATIENT RECEIVING VASOPRESSOR
U-2231 ,TREATING REFRACTORY HYPOTENSION WITH ABOUT 5 NG/KG/MIN TO ABOUT 20 NG/KG/MIN ANGIOTENSIN II IN A PATIENT RECEIVING VASOPRESSOR
U-1096 ,TREATMENT OF PATIENTS WITH METASTATIC BREAST CANCER
U-1812 ,TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC LIPOSARCOMA
U-1630 ,TREATMENT IN COMBINATION WITH A CORTICOID SUCH AS PREDNISONE OF PROSTATE CANCER PREVIOUSLY TREATED WITH DOCETAXEL
U-869 ,METHOD FOR STIMULATING CORONARY VASODILATION FOR PURPOSES OF IMAGING THE HEART
U-116 ,METHOD OF MYOCARDIAL IMAGING
U-870 ,METHOD OF PRODUCING CORONARY VASODILATION WITHOUT PERIPHERAL VASODILATION
U-1003 ,A METHOD OF MYOCARDIAL PERFUSION IMAGING AND INCREASING CORONARY BLOOD FLOW
U-1042 ,METHOD FOR STIMULATING CORONARY VASODILATION FOR PURPOSES OF IMAGING THE HEART
U-1497 ,NEURACEQ IS A RADIOACTIVE DIAGNOSTIC AGENT FOR POSITRON EMISSION TOMOGRAPHY (PET) IMAGING OF THE BRAIN TO ESTIMATE P-AMYLOID NEURITIC PLAQUE DENSITY IN ADULT PATIENTS WITH COGNITIVE IMPAIRMENT
U-2261 ,MODIFIED DOSING REGIMEN FOR THE MANAGEMENT OF MILD TO MODERATE PAIN OR MANAGEMENT OF MODERATE TO SEVERE PAIN AS AN ADJUNCT TO OPIOID ANALGESICS
U-2262 ,MODIFIED DOSING REGIMEN FOR THE REDUCTION OF FEVER
U-2263 ,MODIFIED DOSING REGIMEN FOR THE MANAGEMENT OF MODERATE TO SEVERE PAIN WITH ADJUNCTIVE OPIOID ANALGESICS
U-2378 ,TREATMENT OF POLYNEUROPATHY OF HEREDITARY TRANSTHYRETIN-MEDIATED AMYLOIDOSIS
U-2014 ,A METHOD OF TREATING SECONDARY HYPERPARATHYROIDISM (SHPT)
U-2013 ,TREATMENT OF AMYOTROPHIC LATERAL SCLEROSIS (ALS)
U-1627 ,TREATMENT OF ACUTE UNCOMPLICATED INFLUENZA IN ADULTS
U-1565 ,"METHOD OF TREATING, AS INITIAL LOADING DOSE FOR MONOTHERAPY OR ADJUNCTIVE THERAPY, PARTIAL ONSET-SEIZURES IN A PATIENT WITH EPILEPSY AGED 17 YEARS OR OLDER WHEN ORAL ADMINISTRATION IS TEMPORARILY NOT FEASIBLE"
U-1568 ,"METHOD OF TREATING, AS MONOTHERAPY OR ADJUNCTIVE THERAPY, PARTIAL-ONSET SEIZURES IN A PATIENT WITH EPILEPSY AGED 17 YEARS AND OLDER WHEN ORAL ADMINISTRATION IS TEMPORARILY NOT FEASIBLE"
U-2271 ,"THERAPEUTIC TREATMENT OF PATIENTS WITH CASTRATION-RESISTANT PROSTATE CANCER, SYMPTOMATIC BONE METASTASES AND NO KNOWN VISCERAL METASTATIC DISEASE"
U-2328 ,METHOD OF USING PLAZOMICIN TO TREAT BACTERIAL INFECTIONS
U-1832 ,IMPROVEMENT IN GLYCEMIC CONTROL IN DIABETES MELLITUS PATIENTS BY USE OF A PEN INJECTOR WITH A THREADED DRIVE SLEEVE
U-2146 ,IMPROVEMENT IN GLYCEMIC CONTROL IN DIABETES MELLITUS PATIENTS BY USE OF A PEN INJECTOR WITH A ROTATING DRIVE SLEEVE
U-1518 ,MAINTAINING PUPIL SIZE BY PREVENTING INTRAOPERATIVE MIOSIS AND REDUCING POSTOPERATIVE OCULAR PAIN
U-1971 ,FOR THE TREATMENT OF PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA
U-1972 ,FOR THE TREATMENT OF PATIENTS WITH INDOLENT B-CELL NON-HODGKIN LYMPHOMA
U-1542 ,FOR USE IN THE TREATMENT OF PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA AND/OR NON-HODGKINS LYMPHOMA
U-1790 ,FOR USE IN TREATMENT OF PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA (CLL) AND/OR NON-HODGKIN'S LYMPHOMA
U-2329 ,METHOD OF ADMINISTERING A LOCAL ANESTHETIC PRIOR TO PERFORMING A DIAGNOSTIC OR SURGICAL PROCEDURE ON A SUBJECT WITH HEPATIC OR RENAL IMPAIRMENT
U-2478 ,"METHOD FOR THE INDUCTION OF LOCAL ANESTHESIA PRIOR TO PERFORMING A PROCEDURE ON, THROUGH, OR ADJACENT TO THE MUCOUS MEMBRANES"
U-2479 ,METHOD OF ADMINISTERING A LOCAL ANESTHETIC TO THE MUCOUS MEMBRANES
U-2225 ,METHOD OF ADMINISTERING A LOCAL ANESTHETIC TO THE MUCOUS MEMBRANES IN PATIENTS WITH HEPATIC IMPAIRMENT
U-2226 ,METHOD OF ADMINISTERING A LOCAL ANESTHETIC TO THE MUCOUS MEMBRANES IN PATIENTS WITH RENAL IMPAIRMENT
U-2227 ,METHOD OF ADMINISTERING A LOCAL ANESTHETIC TO THE MUCOUS MEMBRANES IN GERIATRIC PATIENTS
U-1492 ,TREATMENT OF IRRITABILITY ASSOCIATED WITH AUTISTIC DISORDER
U-1529 ,ADJUNCTIVE TREATMENT OF MAJOR DEPRESSIVE DISORDER (MDD)
U-2295 ,TREATMENT OF PARTIAL-ONSET SEIZURES IN PATIENTS 4 YEARS OF AGE AND OLDER
U-2427 ,USE FOR THE TREATMENT OF DROP SEIZURES IN PATIENTS WITH DRAVET SYNDROME
U-2442 ,USE FOR THE TREATMENT OF ATONIC SEIZURES IN PATIENTS WITH LENNOX-GASTAUT SYNDROME
U-2443 ,USE FOR THE TREATMENT OF ATONIC SEIZURES IN PATIENTS WITH DRAVET SYNDROME
U-2454 ,USE FOR THE TREATMENT OF DROP SEIZURES IN PATIENTS WITH LENNOX-GASTAUT SYNDROME
U-2455 ,USE IN COMBINATION WITH CLOBAZAM FOR TREATMENT OF DROP SEIZURES IN PATIENTS WITH LENNOX GASTAUT SYNDROME
U-2421 ,USE IN COMBINATION WITH CLOBAZAM FOR THE TREATMENT OF SEIZURES IN PATIENTS WITH DRAVET SYNDROME
U-2422 ,USE IN COMBINATION WITH CLOBAZAM FOR THE TREATMENT OF SEIZURES IN PATIENTS WITH LENNOX GASTAUT SYNDROME WHO HAVE BEEN PREVIOUSLY TREATED WITH CLOBAZAM
U-2423 ,USE IN COMBINATION WITH CLOBAZAM FOR THE TREATMENT OF SEIZURES IN PATIENTS WITH DRAVET SYNDROME WHO HAVE BEEN PREVIOUSLY TREATED WITH CLOBAZAM
U-2424 ,USE IN COMBINATION WITH CLOBAZAM FOR TREATMENT OF SEIZURES IN PATIENTS WITH LENNOX GASTAUT SYNDROME
U-2425 ,USE FOR THE TREATMENT OF CONVULSIVE SEIZURES IN PATIENTS WITH DRAVET SYNDROME
U-2426 ,USE FOR THE TREATMENT OF CONVULSIVE SEIZURES IN PATIENTS WITH LENNOX GASTAUT SYNDROME
U-735 ,METHOD OF TREATING CHRONIC IRON OVERLOAD
U-1496 ,METHOD TO TREAT HEMANGIOMA.
U-1988 ,METHOD TO TREAT INFANTILE HEMANGIOMA
U-824 ,METHOD OF TREATING PATIENTS INFECTED WITH CCR5-TROPIC HIV-1
U-1567 ,"METHOD OF TREATING, AS INITIAL LOADING DOSE FOR MONOTHERAPY OR ADJUNCTIVE THERAPY, PARTIAL ONSET-SEIZURES IN A PATIENT WITH EPILEPSY AGED 17 YEARS OR OLDER"
U-2140 ,METHOD OF TREATING PARTIAL ONSET SEIZURES IN PATIENTS 4 YEARS OF AGE AND OLDER
U-2473 ,"METHOD OF TREATING CMN, IFS, HGG, DIPGS, PTC, SOFT TISSUE SARCOMA, AND SPINDLE CELL SARCOMA SOLID TUMORS EXHIBITING AN NTRK GENE FUSION IN A PEDIATRIC PATIENT WITH AN ORAL SOLUTION"
U-2471 ,METHOD OF TREATING SOLID TUMORS THAT EXHIBIT AN NTRK FUSION GENE IN A PEDIATRIC PATIENT
U-1110 ,METHOD OF TREATING A PATIENT WITH A PRESCRIPTION DRUG USING A COMPUTER DATABASE IN A COMPUTER SYSTEM FOR DISTRIBUTION
U-1069 ,A METHOD OF TREATING A PATIENT WITH A PRESCRIPTION DRUG USING AN EXCLUSIVE COMPUTER DATABASE IN A COMPUTER SYSTEM FOR DISTRIBUTION
U-1070 ,A METHOD TO CONTROL ABUSE OF A SENSITIVE DRUG BY CONTROLLING WITH A COMPUTER PROCESSOR THE DISTRIBUTION OF THE SENSITIVE DRUG VIA AN EXCLUSIVITY CENTRAL PHARMACY THAT MAINTAINS A CENTRAL DATABASE
U-1101 ,METHOD OF TREATING EXCESSIVE DAYTIME SLEEPINESS IN PATIENTS WITH NARCOLEPSY
U-1102 ,METHOD OF TREATING CATAPLEXY IN PATIENTS WITH NARCOLEPSY
U-1532 ,METHOD OF TREATING EXCESSIVE DAYTIME SLEEPINESS AND/OR CATAPLEXY IN NARCOLEPSY PATIENTS WITH SODIUM OXYBATE WHEN DIVALPROEX SODIUM IS CONCOMITANTLY ADMINISTERED.
U-1881 ,IMPROVEMENT IN GLYCEMIC CONTROL IN TYPE 2 DIABETES MELLITUS PATIENTS BY USE OF A PEN INJECTOR
U-1894 ,COMBINATION TREATMENT WITH A GLITAZONE FOR IMPROVEMENT OF GLYCEMIC CONTROL IN TYPE 2 DIABETES MELLITUS PATIENTS
U-2200 ,COMBINATION TREATMENT WITH INSULIN GLARGINE WITH OR WITHOUT METFORMIN FOR IMPROVEMENT OF GLYCEMIC CONTROL IN TYPE 2 DIABETES MELLITUS PATIENTS
U-1353 ,"ADJUNCTIVE THERAPY TO LIPID-LOWERING MEDICATIONS AND DIET TO REDUCE LOW DENSITY LIPOPROTEIN-CHOLESTEROL, APOLIPOPROTEIN B, TOTAL CHOLESTEROL, AND NON-HIGH DENSITY LIPOPROTEIN CHOLESTEROL IN PTS WITH HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA"
U-2202 ,OZEMPIC IS INDICATED AS AN ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS
U-2238 ,METHOD OF IMPROVING GLYCEMIC CONTROL IN PATIENTS WITH DIABETES MELLITUS BY ADMINISTERING A MIXTURE OF INSULIN DEGLUDEC AND INSULIN ASPART DURING OR AROUND THE TIME OF THE LARGEST MEAL OF THE DAY
U-1923 ,IMPROVEMENT IN GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS INADEQUATELY CONTROLLED BY BASAL INSULIN OR LIXISENATIDE BY USE OF A PEN INJECTOR WITH A THREADED DRIVE SLEEVE
U-2496 ,IMPROVEMENT IN GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS BY USE OF A PEN INJECTOR WITH A THREADED DRIVE SLEEVE
U-2182 ,IMPROVEMENT OF GLYCEMIC CONTROL IN TYPE 2 DIABETES MELLITUS PATIENTS
U-2277 ,IMPROVEMENT IN GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS INADEQUATELY CONTROLLED BY LIXISENATIDE
U-2278 ,IMPROVEMENT IN GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS INADEQUATELY CONTROLLED BY LIXISENATIDE IN COMBINATION WITH METFORMIN
U-2279 ,IMPROVEMENT IN GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS INADEQUATELY CONTROLLED BY LIXISENATIDE IN COMBINATION WITH METFORMIN AND A SECOND ORAL ANTIDIABETIC DRUG
U-831 ,METHOD OF ADMINISTERING LANREOTIDE ACETATE
U-2430 ,TREATMENT OF POLYNEUROPATHY OF HEREDITARY TRANSTHYRETIN AMYLOIDOSIS
U-1855 ,IMPROVEMENT IN GLYCEMIC CONTROL IN DIABETES MELLITUS PATIENTS
U-2009 ,METHOD OF TREATING POSTMENOPAUSAL WOMEN WITH OSTEOPOROSIS AT HIGH RISK FOR FRACTURE.
U-968 ,A METHOD FOR IMPROVING GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS
U-2313 ,"METHOD OF REDUCING THE RISK OF CARDIOVASCULAR DEATH, NON-FATAL MYOCARDIAL INFARCTION, AND/OR NON-FATAL STROKE IN ADULTS WITH TYPE 2 DIABETES MELLITUS AND ESTABLISHED CARDIOVASCULAR DISEASE BY ADMINISTERING LIRAGLUTIDE"
U-2418 ,METHOD OF ADMINISTERING TESTOSTERONE ENANTHATE SUBCUTANEOUSLY
U-2419 ,METHOD OF OPERATING AN INJECTION DEVICE
U-2205 ,TREATMENT OF SEBORRHEIC KERATOSES THAT ARE RAISED
U-281 ,"ANTIMYCOTIC USES, SPECIFICALLY TREATMENT OF ONYCHOMYCOSIS"
U-1969 ,TOPICAL TREATMENT OF ONYCHOMYCOSIS OF THE TOENAIL(S) DUE TO TRICHOPHYTON RUBRUM AND TRICHOPHYTON MENTAGROPHYTES
U-2016 ,TREATMENT FOR ONYCHOMYCOSIS THAT IS TINEA UNGUIUM
U-1951 ,TREATMENT OF ONYCHOMYCOSIS OF A TOENAIL
U-1970 ,TREATMENT OF ONYCHOMYCHOSIS OF A TOENAIL CAUSED BY TRICHOPHYTON RUBRUM OR TRICHOPHYTON MENTAGROPHYTES
U-289 ,TREATMENT OF NON-HYPERKERATOTIC ACTINIC KERATOSES OF FACE AND SCALP
U-1022 ,FOR THE PREPARATION OF SKIN PRIOR TO SURGERY; HELPS REDUCE BACTERIA THAT CAN POTENTIALLY CAUSE SKIN INFECTION
U-1703 ,TREATMENT OF RESPIRATORY COMPLAINTS
U-1702 ,TREATMENT OF COPD
U-1547 ,"TREATMENT OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD), CHRONIC BRONCHITIS OR EMPHYSEMA"
U-1430 ,"TREATMENT OF ALLERGIC RHINITIS, INCLUDING SEASONAL AND PERENNIAL ALLERGIC RHINITIS"
U-77 ,TREATMENT OF SYMPTOMS OF SEASONAL ALLERGIC RHINITIS
U-81 ,RELIEF OF SYMPTOMS ASSOCIATED WITH SEASONAL ALLERGIC RHINITIS
U-644 ,TREATMENT OF SEASONAL ALLERGIC RHINITIS
U-707 ,ALLERGIC RHINITIS
U-1667 ,"TREATMENT OF ALLERGIC RHINITIS, INCLUDING SEASONAL ALLERGIC RHINITIS"
U-1876 ,METHOD OF ANESTHETIZING AT LEAST A PORTION OF THE MAXILLARY DENTAL ARCH
U-1980 ,A METHOD OF TREATING NOCTURIA DUE TO NOCTURNAL POLYURIA IN ADULTS
U-2133 ,METHOD OF DELIVERING FLUTICASONE PROPIONATE TO A NASAL AIRWAY
U-2402 ,TREATMENT OF SCHIZOPHRENIA BY RAPID AND CONTINUOUS INTRAMUSCULAR INJECTION
U-1901 ,TREATMENT OF SCHIZOAFFECTIVE DISORDER AS A MONOTHERAPY AND AS AN ADJUNCT TO MOOD STABILIZERS OR ANTIDEPRESSANTS
U-2457 ,REINITIATION OF SCHIZOPHRENIA TREATMENT FOLLOWING A MISSED DOSE MORE THAN 9 MONTHS AGO
U-2458 ,REINITIATION OF SCHIZOPHRENIA TREATMENT FOLLOWING A MISSED DOSE 4-9 MONTHS AGO
U-2157 ,TREATING TYPE 2 DIABETES MELLITUS BY STIMULATING INSULIN RELEASE
U-2158 ,DECREASING GASTRIC MOTILITY OR DELAYING GASTRIC EMPTYING BY USING A SUSTAINED-RELEASE COMPOSITION
U-2415 ,TREATING MYCOBACTERIUM AVIUM COMPLEX (MAC) LUNG DISEASE IN ADULTS AS PART OF A COMBINATION ANTIBACTERIAL DRUG REGIMEN
U-2416 ,TREATING MYCOBACTERIUM AVIUM COMPLEX (MAC) LUNG DISEASE IN ADULTS WITH CYSTIC FIBROSIS AS PART OF A COMBINATION DRUG REGIMEN
U-2414 ,TREATING MYCOBACTERIUM AVIUM COMPLEX (MAC) LUNG DISEASE IN ADULTS AS PART OF A COMBINATION DRUG REGIMEN
U-2417 ,TREATING MYCOBACTERIUM AVIUM COMPLEX (MAC) LUNG DISEASE IN NON-CYSTIC FIBROSIS ADULTS AS PART OF A COMBINATION ANTIBACTERIAL DRUG REGIMEN
U-1679 ,TREATMENT OF ACUTE OTITIS EXTERNA
U-2340 ,TREATMENT OF POSTOPERATIVE INFLAMMATION
